sp.code,biomass.guild,diversity.guild
ANPA,algae,algae
AU,algae,algae
BF,algae,algae
BLD,algae,algae
BO,algae,algae
BR,algae,algae
BRA,algae,algae
CAL,algae,algae
CC,algae,algae
CF,algae,algae
CG,algae,algae
CO,algae,algae
COF,algae,algae
CP,algae,algae
CRYP,algae,algae
CYOS,algae,algae
CZ,algae,algae
DIAT,algae,algae
DL,algae,algae
DP,algae,algae
DU,algae,algae
EA,algae,algae
EC,algae,algae
EGME,algae,algae
ER,algae,algae
FASP,algae,algae
FB,algae,algae
FG,algae,algae
FR,algae,algae
FTHR,algae,algae
GR,algae,algae
GS,algae,algae
GYSP,algae,algae
HAGL,algae,algae
IR,algae,algae
LAFA,algae,algae
LI,algae,algae
LS,algae,algae
LX,algae,algae
MAPY,giant.kelp,giant.kelp
NA,algae,algae
NEO,algae,algae
PHSE,algae,algae
PHTO,algae,algae
PL,algae,algae
POLA,algae,algae
PRSP,algae,algae
PTCA,algae,algae
R,algae,algae
RAT,algae,algae
SAFU,algae,algae
SAGA,algae,algae
SAHO,algae,algae
SAMU,algae,algae
SCCA,algae,algae
SELO,algae,algae
STIN,algae,algae
TALE,algae,algae
UBB,algae,algae
UEC,algae,algae
UV,algae,algae
ZOMA,algae,algae
AHOL,fish,fish
ANDA,fish,fish
AUFL,fish,fish
BFRE,fish,fish
BOTH,fish,fish
BRAY,fish,fish
CAGG,fish,fish
CLIN,fish,fish
CNIC,fish,fish
COTT,fish,fish
CPUN,fish,fish
CSAT,fish,fish
CSTI,fish,fish
CVEN,fish,fish
DVAC,fish,fish
EJAC,fish,fish
ELAT,fish,fish
EMBI,fish,fish
GAGA,fish,fish
GNIG,fish,fish
HCAR,fish,fish
HDEC,fish,fish
HEFR,fish,fish
HEGR,fish,fish
HROS,fish,fish
HRUB,fish,fish
HSEM,fish,fish
LDAL,fish,fish
LHIR,fish,fish
MCAL,fish,fish
NBLA,fish,fish
OCAL,fish,fish
OELO,fish,fish
OPIC,fish,fish
PCAL,fish,fish
PCLA,fish,fish
PFUR,fish,fish
PNEB,fish,fish
PTRY,fish,fish
RTOX,fish,fish
SATR,fish,fish
SAUR,fish,fish
SCAL,fish,fish
SCAR,fish,fish
SCAU,fish,fish
SCHR,fish,fish
SCSP,fish,fish
SGUT,fish,fish
SMAR,fish,fish
SMIN,fish,fish
SMYS,fish,fish
SPAR,fish,fish
SPAU,fish,fish
SPUL,fish,fish
SRAS,fish,fish
SSER,fish,fish
STRE,fish,fish
SYNG,fish,fish
TSEM,fish,fish
XCAL,fish,fish
AB,epilithic.sessile.invert,sessile.invert
AL,epilithic.sessile.invert,sessile.invert
ANSP,epilithic.sessile.invert,sessile.invert
AR,epilithic.sessile.invert,sessile.invert
ARUD,epilithic.sessile.invert,sessile.invert
AS,epilithic.sessile.invert,sessile.invert
ATM,epilithic.sessile.invert,sessile.invert
BA,epilithic.sessile.invert,sessile.invert
BAEL,epilithic.sessile.invert,sessile.invert
BCAL,epilithic.sessile.invert,sessile.invert
BN,epilithic.sessile.invert,sessile.invert
BOW,epilithic.sessile.invert,sessile.invert
BRSP,epilithic.sessile.invert,sessile.invert
CESP,epilithic.sessile.invert,sessile.invert
CHOV,endolithic.sessile.invert,sessile.invert
CHPR,epilithic.sessile.invert,sessile.invert
CILU,epilithic.sessile.invert,sessile.invert
CL,epilithic.sessile.invert,sessile.invert
COST,epilithic.sessile.invert,sessile.invert
CRGI,epilithic.sessile.invert,sessile.invert
CROC,epilithic.sessile.invert,sessile.invert
CUPI,epilithic.sessile.invert,sessile.invert
CUSP,epilithic.sessile.invert,sessile.invert
CY,epilithic.sessile.invert,sessile.invert
DC,epilithic.sessile.invert,sessile.invert
DIOR,epilithic.sessile.invert,sessile.invert
DOFE,epilithic.sessile.invert,sessile.invert
ECB,epilithic.sessile.invert,sessile.invert
ES,epilithic.sessile.invert,sessile.invert
EUCL,epilithic.sessile.invert,sessile.invert
EUPO,epilithic.sessile.invert,sessile.invert
EUQU,epilithic.sessile.invert,sessile.invert
HC,epilithic.sessile.invert,sessile.invert
HIP,epilithic.sessile.invert,sessile.invert
HPAC,epilithic.sessile.invert,sessile.invert
LINU,epilithic.sessile.invert,sessile.invert
LNUT,epilithic.sessile.invert,sessile.invert
LOCH,epilithic.sessile.invert,sessile.invert
MC,epilithic.sessile.invert,sessile.invert
MISE,epilithic.sessile.invert,sessile.invert
MT,epilithic.sessile.invert,sessile.invert
MUCA,epilithic.sessile.invert,sessile.invert
MUFR,epilithic.sessile.invert,sessile.invert
OBSP,epilithic.sessile.invert,sessile.invert
PA,epilithic.sessile.invert,sessile.invert
PACA,endolithic.sessile.invert,sessile.invert
PAFI,epilithic.sessile.invert,sessile.invert
PAST,epilithic.sessile.invert,sessile.invert
PHSP,epilithic.sessile.invert,sessile.invert
PIEL,epilithic.sessile.invert,sessile.invert
PLAB,epilithic.sessile.invert,sessile.invert
PLUM,epilithic.sessile.invert,sessile.invert
POPL,epilithic.sessile.invert,sessile.invert
PRUB,epilithic.sessile.invert,sessile.invert
PU,endolithic.sessile.invert,sessile.invert
PYST,epilithic.sessile.invert,sessile.invert
SABW,epilithic.sessile.invert,sessile.invert
SC,epilithic.sessile.invert,sessile.invert
SE,epilithic.sessile.invert,sessile.invert
ST,epilithic.sessile.invert,sessile.invert
STMO,epilithic.sessile.invert,sessile.invert
TC,epilithic.sessile.invert,sessile.invert
TEAU,epilithic.sessile.invert,sessile.invert
UAB,epilithic.sessile.invert,sessile.invert
UIH,epilithic.sessile.invert,sessile.invert
UNAN,epilithic.sessile.invert,sessile.invert
URLO,epilithic.sessile.invert,sessile.invert
UT,epilithic.sessile.invert,sessile.invert
WASP,epilithic.sessile.invert,sessile.invert
AML,mobile.invert.carnivore,mobile.invert.carnivore
APCA,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
APVA,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
CASP,mobile.invert.carnivore,mobile.invert.carnivore
CECO,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
COCA,mobile.invert.carnivore,mobile.invert.carnivore
CUKE,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
CYSP,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
DIL,mobile.invert.carnivore,mobile.invert.carnivore
HACO,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
HACR,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
HARU,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
KEKE,mobile.invert.carnivore,mobile.invert.carnivore
LA,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
LIGL,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
LOGR,mobile.invert.carnivore,mobile.invert.carnivore
MECR,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
MIID,mobile.invert.carnivore,mobile.invert.carnivore
NONO,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
OCTO,mobile.invert.carnivore,mobile.invert.carnivore
OKL,mobile.invert.carnivore,mobile.invert.carnivore
OPES,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
OPSP,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
PAIN,mobile.invert.carnivore,mobile.invert.carnivore
PAPA,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
PBL,mobile.invert.carnivore,mobile.invert.carnivore
PGL,mobile.invert.carnivore,mobile.invert.carnivore
PHL,mobile.invert.carnivore,mobile.invert.carnivore
POL,mobile.invert.carnivore,mobile.invert.carnivore
PTTR,mobile.invert.carnivore,mobile.invert.carnivore
PUPR,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
SFL,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
SKE,mobile.invert.carnivore,mobile.invert.carnivore
SPL,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
TESP,mobile.invert.grazer.detritivore,mobile.invert.grazer.detritivore
AMZO,algae,algae
ANOB,fish,fish
CAPR,fish,fish
PONO,fish,fish